City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
286,paita,-5.0892,-81.1144,297.85,76,100,2.03,PE,1677053420
287,kisangani,0.5167,25.2,305.87,43,96,1.62,CD,1677053421
288,beyneu,45.3167,55.2,279.26,71,100,10.18,KZ,1677053422
289,tigil,57.8,158.6667,258.81,97,100,1.13,RU,1677053423
290,souillac,-20.5167,57.5167,301.34,68,8,6.71,MU,1677053424
291,elumalai,9.8667,77.7,306.65,19,2,4.17,IN,1677053298
292,san javier,37.8063,-0.8374,285.92,77,0,0.89,ES,1677053426
293,karratha,-20.7377,116.8463,305.96,55,80,5.71,AU,1677053341
294,itoman,26.1247,127.6694,293.37,64,75,8.23,JP,1677053428
295,maarianhamina,60.0973,19.9348,270.83,86,100,1.03,AX,1677053429
296,cartagena del chaira,1.3349,-74.8429,294.27,67,82,0.71,CO,1677053430
297,mount gambier,-37.8333,140.7667,295.15,53,100,4.33,AU,1677053431
298,salta,-24.7859,-65.4117,287.91,89,20,1.56,AR,1677053414
299,kyshtovka,56.555,76.6271,272.78,91,100,7.4,RU,1677053433
300,enid,36.3956,-97.8784,293.75,66,75,7.72,US,1677053434
301,hay river,60.8156,-115.7999,243.53,97,100,2.46,CA,1677053435
302,beitbridge,-22.2167,30.0,297.84,62,89,10.03,ZW,1677053436
303,villa carlos paz,-31.4241,-64.4978,291.98,78,90,0.89,AR,1677053438
304,beringovskiy,63.05,179.3167,272.86,91,100,0.39,RU,1677053439
305,faya,18.3851,42.4509,293.44,20,0,3.19,SA,1677053440
306,ribeira grande,38.5167,-28.7,287.37,88,75,8.75,PT,1677053441
307,coihaique,-45.5752,-72.0662,286.12,76,100,3.6,CL,1677053418
308,shu,43.5983,73.7614,283.7,57,100,5.01,KZ,1677053443
309,kharp,66.8014,65.8081,262.0,95,100,4.09,RU,1677053443
310,iisalmi,63.5592,27.1907,256.44,94,49,0.23,FI,1677053444
311,ugoofaaru,5.6667,73.0,300.53,73,6,6.68,MV,1677053445
312,puerto barrios,15.7167,-88.6,295.23,100,40,0.0,GT,1677053446
313,agdam,39.991,46.9274,284.39,34,0,2.12,AZ,1677053447
